;Kundennummer;Kundenname;Stadt;Kundengruppe;Kündigung;Anzahl_Mieteinheiten;Kundentyp;Konkurrenz
1996;82757;Fabienne Kohl;Freudenstadt;Kleinkunde;0;22;Bestandskunden;Keine Konkurrenz
1997;62193;Zenta Lindau;Mühldorfm Inn;Kleinkunde;0;5;Neukunde;Keine Konkurrenz
1998;15734;Jann Pölitz;Monschau;mittlerer Kunde;1;92;Bestandskunden;Hohe Konkurrenz
1999;52558;Jennifer Graf MBA.;Nabburg;Kleinkunde;0;36;Bestandskunden;Keine Konkurrenz
2000;33217;Benjamin Ehlert;Rastatt;mittlerer Kunde;0;79;Bestandskunden;mittlerer Konkurrenz
2001;60079;Francisco Pechel;Lichtenfels;Kleinkunde;0;2;Altkunden;Hohe Konkurrenz
2002;61514;Andrei Drubin-Jähn;Schwarzenberg;Kleinkunde;0;8;Neukunde;mittlerer Konkurrenz
2003;99329;Timo Gröttner;Bremen;Großkunde;1;423;Altkunden;Hohe Konkurrenz
2004;95758;Ing. Pascale Hartmann;Diepholz;mittlerer Kunde;0;188;Bestandskunden;Keine Konkurrenz
2005;3554;Ahmed Gude B.Eng.;Ravensburg;mittlerer Kunde;1;168;Bestandskunden;Keine Konkurrenz
2006;39089;Zenta Wulff-Holsten;Neustadtner Waldnaab;Großkunde;0;371;Altkunden;Keine Konkurrenz
2007;25319;Dusan Fechner;Burgdorf;Kleinkunde;0;31;Neukunde;Keine Konkurrenz
2008;10515;Ing. Horst Lachmann;Wunsiedel;Großkunde;1;518;Neukunde;Hohe Konkurrenz
2009;51473;Karlheinz Bolzmann;Waren;mittlerer Kunde;0;157;Bestandskunden;Hohe Konkurrenz
2010;19798;Achim Schuchhardt;Kemnath;Großkunde;0;824;Neukunde;Keine Konkurrenz
2011;21837;Liesa Eigenwillig B.Sc.;Magdeburg;Großkunde;1;472;Altkunden;Hohe Konkurrenz
2012;94134;Univ.Prof. Gülay Klotz;Lörrach;Großkunde;1;602;Altkunden;Hohe Konkurrenz
2013;9000;Martha Fischer-Johann;Warendorf;mittlerer Kunde;1;73;Neukunde;mittlerer Konkurrenz
2014;61725;Ing. Muharrem Zobel;Geithain;mittlerer Kunde;0;101;Bestandskunden;Keine Konkurrenz
2015;38609;Nicole Heintze;Sömmerda;Großkunde;0;902;Bestandskunden;mittlerer Konkurrenz
2016;16947;Dora Bonbach;Wolfenbüttel;mittlerer Kunde;0;62;Neukunde;Keine Konkurrenz
2017;22988;Heino Zirme;Viechtach;Kleinkunde;1;12;Altkunden;Hohe Konkurrenz
2018;35093;Cathrin Lange-Löffler;Uffenheim;Kleinkunde;1;7;Bestandskunden;Hohe Konkurrenz
2019;17826;Klaas Lange;Coburg;Großkunde;0;605;Bestandskunden;Keine Konkurrenz
2020;33325;Agathe Aumann;Neustrelitz;mittlerer Kunde;0;121;Bestandskunden;Hohe Konkurrenz
2021;42204;Hilma Schüler;Seelow;Großkunde;0;380;Bestandskunden;Keine Konkurrenz
2022;9057;Eckard Wulff;Mallersdorf;Großkunde;0;624;Bestandskunden;Hohe Konkurrenz
2023;13740;Julie Bien;Bersenbrück;mittlerer Kunde;0;54;Neukunde;Keine Konkurrenz
2024;63773;Ing. Joseph Pohl B.Eng.;Ebern;Kleinkunde;0;35;Bestandskunden;Hohe Konkurrenz
2025;5709;Jorge Jäntsch MBA.;Oranienburg;Großkunde;0;389;Bestandskunden;Hohe Konkurrenz
2026;40641;Carina Karz;Fulda;Kleinkunde;0;26;Neukunde;Hohe Konkurrenz
2027;25201;Dr. Nancy Dobes;Geithain;Großkunde;0;965;Altkunden;Keine Konkurrenz
2028;96700;Sibel Junitz B.Sc.;Riesa;mittlerer Kunde;0;145;Neukunde;Hohe Konkurrenz
2029;43076;Arno Holzapfel B.Eng.;Schmölln;mittlerer Kunde;0;64;Bestandskunden;Keine Konkurrenz
2030;30436;Herr Hans-Michael Loos B.Sc.;Herford;Großkunde;0;323;Bestandskunden;mittlerer Konkurrenz
2031;23867;Ing. Susi Hethur B.Eng.;München;Kleinkunde;0;38;Bestandskunden;Keine Konkurrenz
2032;71351;Eckhart Tintzmann;Gotha;mittlerer Kunde;1;188;Bestandskunden;mittlerer Konkurrenz
2033;74412;Ulrike Weimer;Nördlingen;Großkunde;0;915;Bestandskunden;mittlerer Konkurrenz
2034;67339;Eugenie Misicher;Werdau;mittlerer Kunde;0;94;Neukunde;Keine Konkurrenz
2035;99452;Mehmet Bärer-Staude;Schwabmünchen;Großkunde;0;731;Bestandskunden;Hohe Konkurrenz
2036;22067;Univ.Prof. Siglinde Beckmann B.A.;Jülich;Kleinkunde;1;41;Bestandskunden;Hohe Konkurrenz
2037;75631;Dipl.-Ing. Herwig Hethur;Bamberg;Kleinkunde;0;45;Bestandskunden;mittlerer Konkurrenz
2038;1448;Nadja Pieper B.Sc.;Belzig;Kleinkunde;0;24;Neukunde;Keine Konkurrenz
2039;33851;Knut Lachmann B.A.;Jüterbog;mittlerer Kunde;0;131;Altkunden;Keine Konkurrenz
2040;21024;Prof. Mehmet Scheuermann B.Sc.;Sigmaringen;Kleinkunde;1;35;Bestandskunden;Hohe Konkurrenz
2041;83101;Georgine Bien B.Eng.;Bautzen;Großkunde;0;771;Altkunden;Keine Konkurrenz
2042;81480;Prof. Sigfried Mülichen B.A.;Peine;Kleinkunde;0;18;Bestandskunden;Keine Konkurrenz
2043;61841;Herr Heinz-Günther Binner;Moers;Großkunde;1;694;Bestandskunden;Keine Konkurrenz
2044;61736;Jaroslaw Wende;Hildburghausen;Großkunde;0;535;Bestandskunden;Hohe Konkurrenz
2045;30600;Dipl.-Ing. Christopher Ullmann B.Eng.;Gerolzhofen;Großkunde;0;843;Altkunden;mittlerer Konkurrenz
2046;59392;Emine Bender;Naila;Kleinkunde;0;28;Bestandskunden;mittlerer Konkurrenz
2047;29315;Alexandre Bolnbach;Schwabmünchen;Großkunde;1;838;Altkunden;Hohe Konkurrenz
2048;56062;Dr. Agathe Wohlgemut MBA.;Delitzsch;Großkunde;0;896;Bestandskunden;Keine Konkurrenz
2049;69257;Hedwig Bohnbach;Kyritz;mittlerer Kunde;0;98;Neukunde;Keine Konkurrenz
2050;94857;Univ.Prof. Nadeshda Hertrampf B.A.;Görlitz;mittlerer Kunde;0;87;Altkunden;Keine Konkurrenz
2051;76955;Clara Dörr;Borna;mittlerer Kunde;1;173;Bestandskunden;Hohe Konkurrenz
2052;71620;Herr Meinhard Reinhardt;Leipziger Land;mittlerer Kunde;0;158;Bestandskunden;Keine Konkurrenz
2053;92720;Eugenia Holsten;Magdeburg;Kleinkunde;1;47;Bestandskunden;Hohe Konkurrenz
2054;3027;Teresa Mans-Trüb;Konstanz;mittlerer Kunde;1;135;Altkunden;Hohe Konkurrenz
2055;37117;Ann Metz;Ludwigslust;mittlerer Kunde;0;165;Bestandskunden;Keine Konkurrenz
2056;1335;Marie-Luise Krause B.Eng.;Koblenz;Großkunde;0;277;Altkunden;Keine Konkurrenz
2057;22581;Dr. Patricia Dörschner;Rochlitz;Kleinkunde;1;33;Bestandskunden;Hohe Konkurrenz
2058;35878;Annett Trupp;Konstanz;mittlerer Kunde;1;112;Neukunde;Hohe Konkurrenz
2059;60112;Karl Heinz Stroh-Hörle;Beilngries;mittlerer Kunde;1;136;Altkunden;Hohe Konkurrenz
2060;75546;Heini Hein;Sömmerda;Kleinkunde;0;37;Bestandskunden;mittlerer Konkurrenz
2061;62309;Marita Spieß-Jungfer;Kötzting;Großkunde;0;961;Neukunde;Keine Konkurrenz
2062;86721;Prof. Roman Dowerg;Ueckermünde;Kleinkunde;1;43;Bestandskunden;Keine Konkurrenz
2063;30229;Bruno Jockel;Miltenberg;Großkunde;0;976;Bestandskunden;Keine Konkurrenz
2064;57346;Leszek Heinz;Bremervörde;Großkunde;0;479;Neukunde;Keine Konkurrenz
2065;8404;Walburga Hörle;Perleberg;mittlerer Kunde;0;167;Bestandskunden;Hohe Konkurrenz
2066;55767;Paul-Heinz Schenk;Bützow;mittlerer Kunde;0;186;Neukunde;mittlerer Konkurrenz
2067;15719;Hanno Sager;Moers;Kleinkunde;0;10;Bestandskunden;Keine Konkurrenz
2068;69517;Francis Döring;Regen;mittlerer Kunde;0;57;Bestandskunden;mittlerer Konkurrenz
2069;66187;Fridolin Bolzmann;Hainichen;Großkunde;0;207;Bestandskunden;Keine Konkurrenz
2070;59975;Simona Beckmann-Fliegner;Vechta;mittlerer Kunde;0;166;Neukunde;mittlerer Konkurrenz
2071;3277;Dipl.-Ing. Till Sager B.Sc.;Rosenheim;Großkunde;0;600;Neukunde;Keine Konkurrenz
2072;52141;Prof. Samuel Otto;Sankt Goar;mittlerer Kunde;0;150;Bestandskunden;mittlerer Konkurrenz
2073;3047;Hans-Hermann Schmidt B.A.;Roth;Kleinkunde;0;6;Neukunde;Keine Konkurrenz
2074;63965;Radmila Hövel;Uelzen;mittlerer Kunde;0;135;Bestandskunden;Hohe Konkurrenz
2075;61000;Hilmar Rose-Beer;Herzberg;mittlerer Kunde;1;154;Bestandskunden;Hohe Konkurrenz
2076;20137;Hiltrud Buchholz;Helmstedt;mittlerer Kunde;1;166;Bestandskunden;Keine Konkurrenz
2077;16358;Anna-Marie Tintzmann;Ueckermünde;mittlerer Kunde;0;131;Bestandskunden;Keine Konkurrenz
2078;84552;Geza Ziegert;Lichtenfels;Kleinkunde;0;27;Neukunde;Hohe Konkurrenz
2079;73484;Isabel Ebert;Lübz;Großkunde;1;787;Altkunden;Hohe Konkurrenz
2080;58101;Univ.Prof. Reinhilde Lindau;Günzburg;Großkunde;0;523;Neukunde;Keine Konkurrenz
2081;57785;Hertha Eigenwillig-Pechel;Wolgast;Kleinkunde;0;49;Neukunde;Keine Konkurrenz
2082;36682;Malte Höfig-Benthin;Eggenfelden;Großkunde;0;381;Neukunde;Keine Konkurrenz
2083;35604;Herr Berthold Lange B.Eng.;Illertissen;Kleinkunde;0;32;Altkunden;Keine Konkurrenz
2084;79641;Bernhardine Steckel;Viersen;Großkunde;0;540;Altkunden;Keine Konkurrenz
2085;27567;Wera Sauer-Bohlander;Weißwasser;Kleinkunde;0;6;Neukunde;mittlerer Konkurrenz
2086;98061;Ing. Leonore Mude B.Eng.;Mellrichstadt;Kleinkunde;1;15;Neukunde;mittlerer Konkurrenz
2087;7717;Dr. Ludmilla Jüttner B.Sc.;Garmisch-Partenkirchen;mittlerer Kunde;0;195;Altkunden;Keine Konkurrenz
2088;49081;Richard Bender;Greifswald;Kleinkunde;0;16;Bestandskunden;Keine Konkurrenz
2089;17857;Gabi Pohl;Rostock;mittlerer Kunde;0;76;Altkunden;Hohe Konkurrenz
2090;15406;Thoralf Pärtzelt MBA.;Burgdorf;mittlerer Kunde;0;86;Bestandskunden;Keine Konkurrenz
2091;13809;Denise Ackermann;Höxter;mittlerer Kunde;0;172;Bestandskunden;mittlerer Konkurrenz
2092;68926;Elvira Lübs;Kehl;Kleinkunde;1;17;Bestandskunden;Hohe Konkurrenz
2093;38589;Kirstin Seidel B.A.;Brand;Kleinkunde;0;31;Bestandskunden;Keine Konkurrenz
2094;2129;Lidia Trapp;Nordhausen;Großkunde;0;629;Altkunden;Hohe Konkurrenz
2095;67348;Mara Trüb-Ehlert;Ahaus;Kleinkunde;0;6;Altkunden;mittlerer Konkurrenz
2096;36256;Ben Hermighausen;Aachen;Kleinkunde;0;37;Altkunden;mittlerer Konkurrenz
2097;5104;Dipl.-Ing. Carl Stahr;Helmstedt;Kleinkunde;0;12;Altkunden;Keine Konkurrenz
2098;20983;Sibylla Ruppersberger;Pfaffenhofenner Ilm;Großkunde;0;482;Neukunde;Hohe Konkurrenz
2099;67787;Frau Ayten Margraf;Goslar;Kleinkunde;0;16;Altkunden;Keine Konkurrenz
2100;62670;Christos Noack;Heinsberg;Großkunde;0;488;Neukunde;Hohe Konkurrenz
2101;35206;Otto Heintze;Monschau;mittlerer Kunde;1;159;Bestandskunden;Hohe Konkurrenz
2102;61805;Dr. Urs Wulff B.A.;Karlsruhe;mittlerer Kunde;1;80;Bestandskunden;Hohe Konkurrenz
2103;16479;Vitali Caspar-Süßebier;Stade;Kleinkunde;0;21;Altkunden;Hohe Konkurrenz
2104;40905;Konrad Seifert B.A.;Suhl;Kleinkunde;0;40;Neukunde;mittlerer Konkurrenz
2105;83988;Folker Jäkel;Sonneberg;mittlerer Kunde;1;116;Bestandskunden;Hohe Konkurrenz
2106;72057;Univ.Prof. Hans Josef Tintzmann;Apolda;Großkunde;0;574;Bestandskunden;mittlerer Konkurrenz
2107;60893;Tilmann Schacht;Lüneburg;mittlerer Kunde;0;169;Bestandskunden;mittlerer Konkurrenz
2108;86704;Zbigniew Siering;Lübben;Großkunde;0;228;Neukunde;Keine Konkurrenz
2109;74944;Jacob Carsten;Königs Wusterhausen;Großkunde;0;445;Bestandskunden;Keine Konkurrenz
2110;32479;Alexej Albers;Rostock;mittlerer Kunde;0;198;Altkunden;Hohe Konkurrenz
2111;6842;Prof. Klaus-Peter Holsten B.A.;Worbis;Großkunde;1;230;Bestandskunden;mittlerer Konkurrenz
2112;85679;Dipl.-Ing. Robin Meyer B.Sc.;Haldensleben;Großkunde;1;471;Bestandskunden;Hohe Konkurrenz
2113;84899;Prof. Kristiane Wende;Pinneberg;mittlerer Kunde;0;68;Altkunden;Keine Konkurrenz
2114;97598;Emmy Kohl;Gardelegen;mittlerer Kunde;0;90;Bestandskunden;mittlerer Konkurrenz
2115;62360;Rena Knappe;Bischofswerda;Kleinkunde;0;3;Bestandskunden;mittlerer Konkurrenz
2116;34996;Andrew Hesse;Altötting;mittlerer Kunde;0;61;Altkunden;mittlerer Konkurrenz
2117;9171;Karl-Wilhelm Kühnert;Miesbach;Großkunde;0;307;Bestandskunden;Keine Konkurrenz
2118;66405;Karla Pergande;Halberstadt;Kleinkunde;0;5;Bestandskunden;mittlerer Konkurrenz
2119;1279;Mathilde Meyer-Gieß;Königs Wusterhausen;mittlerer Kunde;0;52;Altkunden;Keine Konkurrenz
2120;50038;Ing. Elias Wernecke MBA.;Nürtingen;Großkunde;0;792;Neukunde;Keine Konkurrenz
2121;8750;Inga auch Schlauchin;Ravensburg;mittlerer Kunde;0;77;Bestandskunden;Keine Konkurrenz
2122;30795;Danny Ditschlerin;Werdau;Kleinkunde;0;40;Neukunde;Keine Konkurrenz
2123;40278;Frau Lucie Wilmsen;Nördlingen;Kleinkunde;0;3;Bestandskunden;mittlerer Konkurrenz
2124;54659;Ronny Dobes B.Eng.;Bad Kissingen;mittlerer Kunde;1;121;Bestandskunden;Hohe Konkurrenz
2125;90141;Gernot Koch II;Stendal;Kleinkunde;1;18;Bestandskunden;Hohe Konkurrenz
2126;63571;Cilli Adler MBA.;Senftenberg;mittlerer Kunde;0;185;Bestandskunden;Keine Konkurrenz
2127;53312;Saban Lindau MBA.;Auerbach;Großkunde;0;258;Bestandskunden;Keine Konkurrenz
2128;48244;Ole Loos;Cottbus;Großkunde;0;615;Bestandskunden;Keine Konkurrenz
2129;57635;Frau Claire Becker;Fürstenwalde;Großkunde;0;979;Bestandskunden;Hohe Konkurrenz
2130;40046;Rico Gumprich;Grimma;Großkunde;0;704;Neukunde;Keine Konkurrenz
2131;15257;Ing. Veronica Haering;Wunsiedel;Kleinkunde;0;16;Altkunden;Hohe Konkurrenz
2132;99367;Barbara Kusch;Kronach;Kleinkunde;0;22;Altkunden;mittlerer Konkurrenz
2133;99363;Gundula Reichmann;Badibling;Kleinkunde;1;29;Neukunde;Hohe Konkurrenz
2134;11560;Kemal Zahn B.Sc.;Teterow;mittlerer Kunde;0;125;Bestandskunden;Keine Konkurrenz
2135;76786;Dr. Hansjoachim Aumann MBA.;Coburg;Großkunde;0;813;Neukunde;Keine Konkurrenz
2136;8729;Ludmilla Heser;Senftenberg;mittlerer Kunde;0;144;Bestandskunden;Keine Konkurrenz
2137;87373;Selma Metz;Jüterbog;mittlerer Kunde;0;171;Bestandskunden;Keine Konkurrenz
2138;99290;Walfried Hethur;Plauen;Kleinkunde;0;17;Altkunden;Hohe Konkurrenz
2139;92376;Ernestine Meister;Reutlingen;Kleinkunde;1;26;Bestandskunden;Keine Konkurrenz
2140;14121;Annelise Paffrath-Fritsch;Ochsenfurt;mittlerer Kunde;0;130;Bestandskunden;Hohe Konkurrenz
2141;4833;Hardy Hein;Neunburg vorm Wald;Kleinkunde;1;17;Neukunde;Keine Konkurrenz
2142;42219;Karolin Jäkel;Kitzingen;mittlerer Kunde;0;84;Neukunde;Keine Konkurrenz
2143;59145;Antonius Hering MBA.;Borken;Großkunde;0;647;Bestandskunden;mittlerer Konkurrenz
2144;29109;Niels Tröst;Burglengenfeld;Großkunde;0;607;Altkunden;mittlerer Konkurrenz
2145;5270;Ing. Gudrun Trapp B.Sc.;Soltau;mittlerer Kunde;1;154;Bestandskunden;Hohe Konkurrenz
2146;1843;Annekatrin Oderwald;Meppen;Kleinkunde;0;43;Bestandskunden;Keine Konkurrenz
2147;28296;Slavica Rosemann;Dieburg;mittlerer Kunde;1;130;Neukunde;mittlerer Konkurrenz
2148;10403;Nuri Karz B.A.;Arnstadt;mittlerer Kunde;0;100;Bestandskunden;Keine Konkurrenz
2149;64223;Norma Schüler;Delitzsch;mittlerer Kunde;0;136;Bestandskunden;Keine Konkurrenz
2150;77073;Univ.Prof. Frank Conradi;Lippstadt;mittlerer Kunde;0;119;Altkunden;Keine Konkurrenz
2151;67187;Kristin Schinke;Oberviechtach;Großkunde;0;901;Neukunde;Keine Konkurrenz
2152;24026;Miguel Trubin-Döhn;Darmstadt;Großkunde;0;583;Neukunde;mittlerer Konkurrenz
2153;45291;Dr. Uwe Paffrath B.Sc.;Cottbus;mittlerer Kunde;0;136;Bestandskunden;Keine Konkurrenz
2154;60168;Univ.Prof. Wieslaw Nerger;Bamberg;Großkunde;0;494;Bestandskunden;mittlerer Konkurrenz
2155;39376;Desiree Etzler;Scheinfeld;mittlerer Kunde;0;97;Bestandskunden;Hohe Konkurrenz
2156;42424;Lilo Oderwald B.Sc.;Gardelegen;Kleinkunde;0;18;Altkunden;mittlerer Konkurrenz
2157;8021;Klaus-D. Etzold-Hoffmann;Jülich;Großkunde;0;795;Bestandskunden;Hohe Konkurrenz
2158;34142;Bruni Scheuermann;Kötzting;mittlerer Kunde;0;51;Altkunden;Keine Konkurrenz
2159;44510;Nadin Schweitzer-Zobel;Eggenfelden;mittlerer Kunde;0;176;Bestandskunden;Keine Konkurrenz
2160;99516;Prof. Susan Tröst;Neunburg vorm Wald;mittlerer Kunde;0;180;Bestandskunden;Keine Konkurrenz
2161;76878;Dipl.-Ing. Vincenzo Kostolzin B.Sc.;Kusel;Großkunde;0;516;Bestandskunden;mittlerer Konkurrenz
2162;47997;Ilija Ruppert-Barkholz;Greifswald;Großkunde;0;637;Neukunde;Keine Konkurrenz
2163;21211;Marianne Lehmann-Kramer;Wittstock;Kleinkunde;0;40;Bestandskunden;Keine Konkurrenz
2164;47256;Ing. Korbinian Wilmsen B.A.;Büsingenm Hochrhein;Kleinkunde;0;3;Bestandskunden;mittlerer Konkurrenz
2165;90622;Filiz Budig;Lübeck;Kleinkunde;0;15;Bestandskunden;mittlerer Konkurrenz
2166;50973;Ursel Faust;Artern;Kleinkunde;0;36;Neukunde;Keine Konkurrenz
2167;4163;Richard Höfig-Jacobi Jäckel;Waren;Kleinkunde;0;12;Bestandskunden;Hohe Konkurrenz
2168;80993;Georg Hamann MBA.;Stadtsteinach;mittlerer Kunde;0;152;Bestandskunden;mittlerer Konkurrenz
2169;58952;Viviane Wagenknecht;Gardelegen;Großkunde;0;923;Bestandskunden;mittlerer Konkurrenz
2170;56968;Tülay Sontag;Oschatz;mittlerer Kunde;0;199;Bestandskunden;mittlerer Konkurrenz
2171;7947;Dr. Wiltrud Köster;Teterow;Kleinkunde;0;13;Neukunde;Keine Konkurrenz
2172;55206;Justus Linke-Holsten;Dresden;mittlerer Kunde;0;184;Altkunden;mittlerer Konkurrenz
2173;21262;Univ.Prof. Sandor Fischer B.Sc.;Perleberg;Kleinkunde;1;8;Bestandskunden;Hohe Konkurrenz
2174;5112;Ian Hornich-Mielcarek;Rehau;Kleinkunde;0;10;Altkunden;Keine Konkurrenz
2175;55966;Leonie Lübs;Göppingen;mittlerer Kunde;1;151;Bestandskunden;Hohe Konkurrenz
2176;51270;Bernadette Kallert;Mainburg;Großkunde;0;674;Bestandskunden;Hohe Konkurrenz
2177;68631;Philippe Mende;Torgau;Großkunde;0;999;Neukunde;Keine Konkurrenz
2178;44602;Harriet Hein-Mitschke;Flöha;mittlerer Kunde;0;75;Neukunde;Keine Konkurrenz
2179;18215;Friedemann Kramer;Lübben;Großkunde;0;917;Altkunden;Keine Konkurrenz
2180;61795;Mechtild Karge-Scheibe;Rosenheim;Großkunde;0;686;Altkunden;Keine Konkurrenz
2181;2038;Raphael Pruschke;Meißen;mittlerer Kunde;0;129;Neukunde;Keine Konkurrenz
2182;63845;Artur Jacob-Biggen;Cloppenburg;Großkunde;0;839;Bestandskunden;Keine Konkurrenz
2183;39685;Ing. Nada Süßebier;Dessau;Kleinkunde;1;40;Bestandskunden;Keine Konkurrenz
2184;48684;Regine Anders MBA.;Wunsiedel;mittlerer Kunde;0;55;Bestandskunden;Hohe Konkurrenz
2185;1129;Trudel Pohl B.Eng.;Rostock;Großkunde;0;870;Altkunden;Hohe Konkurrenz
2186;64746;Klothilde Karz-Trapp;Staßfurt;Großkunde;0;384;Bestandskunden;Keine Konkurrenz
2187;59408;Anne Trommler B.A.;Lobenstein;Kleinkunde;0;17;Bestandskunden;Keine Konkurrenz
2188;33643;Ellen Haering;Leipziger Land;Kleinkunde;0;28;Bestandskunden;Keine Konkurrenz
2189;50822;Ilhan Jessel B.Sc.;Nabburg;mittlerer Kunde;0;52;Altkunden;Keine Konkurrenz
2190;19716;Hilma Hecker MBA.;Neubrandenburg;Kleinkunde;1;10;Bestandskunden;Hohe Konkurrenz
2191;13203;Dr. Adina Haase B.Eng.;Herford;mittlerer Kunde;0;184;Altkunden;mittlerer Konkurrenz
2192;97209;Hans-Werner Hamann;Weimar;Kleinkunde;0;34;Bestandskunden;Keine Konkurrenz
2193;34963;Dr. Gilda Löchel MBA.;Scheinfeld;Großkunde;1;223;Bestandskunden;Hohe Konkurrenz
2194;75782;Harriet Hänel;Bad Langensalza;mittlerer Kunde;0;159;Neukunde;Keine Konkurrenz
2195;84392;Prof. Enver Hermighausen;Gelnhausen;Großkunde;0;850;Bestandskunden;Hohe Konkurrenz
2196;28472;Isidor Schmidt-Loos;Burg;Großkunde;1;468;Neukunde;Hohe Konkurrenz
2197;60796;Kreszentia Heser;Marktheidenfeld;Großkunde;0;204;Bestandskunden;Keine Konkurrenz
2198;25880;Maja Mosemann MBA.;Ingolstadt;Großkunde;0;712;Bestandskunden;Keine Konkurrenz
2199;38090;Alena Stahr;Helmstedt;mittlerer Kunde;0;81;Bestandskunden;Keine Konkurrenz
2200;9645;Hans-Jürgen Stey;Schlüchtern;Großkunde;0;394;Bestandskunden;Hohe Konkurrenz
2201;61955;Betti Heidrich MBA.;Soest;mittlerer Kunde;0;181;Altkunden;Keine Konkurrenz
2202;14464;Dipl.-Ing. Zeki Junitz MBA.;Garmisch-Partenkirchen;Großkunde;0;358;Neukunde;Keine Konkurrenz
2203;13193;Utz Jessel;Biedenkopf;mittlerer Kunde;0;76;Bestandskunden;Keine Konkurrenz
2204;49240;Dipl.-Ing. Ines Karz;Starnberg;Großkunde;0;612;Altkunden;mittlerer Konkurrenz
2205;5808;Regina Trubin;Melle;Kleinkunde;0;41;Bestandskunden;mittlerer Konkurrenz
2206;5584;Sedat Stiebitz B.Eng.;Peine;Kleinkunde;0;22;Neukunde;Keine Konkurrenz
2207;57251;Belinda Hamann;Bremen;Kleinkunde;1;46;Neukunde;Hohe Konkurrenz
2208;70155;Heiko Kreusel-Trüb;Sonneberg;Großkunde;0;591;Altkunden;Hohe Konkurrenz
2209;9379;Fridolin Heydrich B.A.;Groß-Gerau;Kleinkunde;1;30;Neukunde;Hohe Konkurrenz
2210;26098;Univ.Prof. Leander Neuschäfer;Wertingen;Kleinkunde;1;19;Altkunden;Hohe Konkurrenz
2211;86051;Univ.Prof. Katerina Berger;Halberstadt;mittlerer Kunde;0;78;Altkunden;mittlerer Konkurrenz
2212;48116;Heinz-Jürgen Thanel;Rottweil;Großkunde;1;496;Bestandskunden;Keine Konkurrenz
2213;37345;Udo Bohlander;Eichstätt;mittlerer Kunde;0;136;Bestandskunden;mittlerer Konkurrenz
2214;23237;Angelica Gehringer;Merseburg;Kleinkunde;0;26;Bestandskunden;mittlerer Konkurrenz
2215;76583;Hendrik Bolnbach;Plauen;Großkunde;0;856;Neukunde;Hohe Konkurrenz
2216;40687;Catherine Fechner;Havelberg;Kleinkunde;1;49;Altkunden;Keine Konkurrenz
2217;22842;Jenny Dörr;Finsterwalde;Kleinkunde;0;15;Altkunden;mittlerer Konkurrenz
2218;23170;Ibrahim Zobel;Badibling;Kleinkunde;0;40;Bestandskunden;Hohe Konkurrenz
2219;61831;Eileen Beyer-Döhn;Hagenow;Großkunde;0;592;Altkunden;Keine Konkurrenz
2220;19799;Susanna Birnbaum;Konstanz;mittlerer Kunde;1;154;Bestandskunden;Hohe Konkurrenz
2221;56972;Rahel Rudolph B.A.;Eichstätt;Kleinkunde;0;43;Altkunden;mittlerer Konkurrenz
2222;49754;Jeanette Reuter;Soest;Kleinkunde;0;35;Neukunde;Keine Konkurrenz
2223;63169;Tomas Rosemann B.Eng.;Bitterfeld;mittlerer Kunde;1;197;Bestandskunden;Hohe Konkurrenz
2224;29811;Nada Fritsch;Stadtroda;mittlerer Kunde;0;77;Altkunden;mittlerer Konkurrenz
2225;24135;Dipl.-Ing. Lotti Tröst;Magdeburg;mittlerer Kunde;1;75;Bestandskunden;Hohe Konkurrenz
2226;76531;Gitta Holzapfel;Schwarzenberg;Großkunde;0;996;Neukunde;mittlerer Konkurrenz
2227;4764;Helfried Tlustek;Mettmann;Kleinkunde;0;38;Neukunde;Keine Konkurrenz
2228;2454;Friedl Heidrich;Hersbruck;mittlerer Kunde;1;93;Bestandskunden;Hohe Konkurrenz
2229;92381;Annaliese Hänel B.Eng.;Nürtingen;mittlerer Kunde;0;178;Bestandskunden;Keine Konkurrenz
2230;33192;Dr. Anna-Luise Tintzmann;Guben;Großkunde;0;507;Bestandskunden;Hohe Konkurrenz
2231;24328;Leyla Zänker-Jacobi Jäckel;Nördlingen;Großkunde;0;766;Altkunden;mittlerer Konkurrenz
2232;26214;Tabea Dehmel;Aue;Kleinkunde;0;27;Altkunden;Hohe Konkurrenz
2233;78479;Dr. Pasquale Carsten MBA.;Pritzwalk;Großkunde;0;508;Bestandskunden;Keine Konkurrenz
2234;30963;Dipl.-Ing. Priska Trubin B.Eng.;Soest;Kleinkunde;0;13;Altkunden;Keine Konkurrenz
2235;30157;Dipl.-Ing. Jessika Zahn;Gießen;mittlerer Kunde;0;54;Bestandskunden;Keine Konkurrenz
2236;52789;Robby Otto-Lindner;Rathenow;Großkunde;0;786;Bestandskunden;Keine Konkurrenz
2237;99381;Petros Weinhold;Dresden;Kleinkunde;1;45;Bestandskunden;mittlerer Konkurrenz
2238;26719;Dr. Patrizia Klemt B.Eng.;Lippstadt;Kleinkunde;1;40;Neukunde;Keine Konkurrenz
2239;94671;Helga Stiffel B.A.;Rudolstadt;Kleinkunde;0;20;Bestandskunden;mittlerer Konkurrenz
2240;8607;Leon Löchel;Rothenburg oberauber;mittlerer Kunde;0;111;Bestandskunden;Keine Konkurrenz
2241;56780;Karl-Dieter Lange;Badalzungen;Kleinkunde;0;12;Neukunde;mittlerer Konkurrenz
2242;89069;Harriet Wulff;Lübz;Kleinkunde;1;5;Bestandskunden;Hohe Konkurrenz
